title,description_type,class_prob_human,class_prob_ai,class_prob_mixed,confidence_score_ai,confidence_score_human,confidence_score_mixed,confidence_score,predicted_class,LLM_win_ratio_gpt-4-1106-preview,LLM_win_ratio_gpt-3.5-turbo,LLM_win_ratio_gpt-3.5-turbo-1106,LLM_win_ratio_together-mistralai/Mixtral-8x22B-Instruct-v0.1,LLM_win_ratio_together-Qwen/Qwen1.5-4B-Chat,LLM_win_ratio_together-Qwen/Qwen1.5-14B-Chat,LLM_win_ratio_together-Qwen/Qwen1.5-72B-Chat,LLM_win_ratio_together-meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,LLM_win_ratio_together-Qwen/Qwen2.5-72B-Instruct-Turbo
cartman_39_piece_tool_set_genera,human_description,0.9610576047184772,0.0389423952815227,0.0,0.0389423952815227,0.9610576047184772,0.0,0.9610576047184772,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
cartman_39_piece_tool_set_genera,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
6pack3366610_ft_original_apple_m,human_description,0.9592346401188312,0.0403064594981382,0.0004589003830307,0.0403064594981382,0.9592346401188312,0.0004589003830307,0.9592346401188312,human,0.5,1.0,1.0,1.0,0.375,1.0,0.875,0.5,1.0
6pack3366610_ft_original_apple_m,llm_description,0.0,0.9990739025745508,0.0009260974254491,0.9990739025745508,0.0,0.0009260974254491,0.9990739025745508,ai,0.5,1.0,1.0,1.0,0.375,1.0,0.875,0.5,1.0
bulova_mens_marine_star_gold_chr,human_description,0.9982583254114066,0.0017416745885934,0.0,0.0017416745885934,0.9982583254114066,0.0,0.9982583254114066,human,1.0,1.0,0.3333333333333333,1.0,0.625,0.5,1.0,0.5,1.0
bulova_mens_marine_star_gold_chr,llm_description,0.5157161042806047,0.4832820000721262,0.0010018956472691,0.4832820000721262,0.5157161042806047,0.0010018956472691,0.5157161042806047,human,1.0,1.0,0.3333333333333333,1.0,0.625,0.5,1.0,0.5,1.0
zuzuan_2_piece_hammer_setinclude,human_description,0.998260799764539,0.0017392002354609,0.0,0.0017392002354609,0.998260799764539,0.0,0.998260799764539,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,0.5
zuzuan_2_piece_hammer_setinclude,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,0.5
apple_2023_macbook_pro_laptop_m2,human_description,0.99153255582052,0.0084674441794799,0.0,0.0084674441794799,0.99153255582052,0.0,0.99153255582052,human,0.5,1.0,1.0,1.0,0.625,0.875,0.375,0.5,0.5
apple_2023_macbook_pro_laptop_m2,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,1.0,0.625,0.875,0.375,0.5,0.5
ki_puzzle_1000_piece_puzzle_for_,human_description,0.9971563823134412,0.0028436176865587,0.0,0.0028436176865587,0.9971563823134412,0.0,0.9971563823134412,human,1.0,1.0,1.0,1.0,0.625,0.75,1.0,1.0,1.0
ki_puzzle_1000_piece_puzzle_for_,llm_description,0.2388280943453807,0.7594497972707852,0.0017221083838339,0.7594497972707852,0.2388280943453807,0.0017221083838339,0.7594497972707852,ai,1.0,1.0,1.0,1.0,0.625,0.75,1.0,1.0,1.0
tosy_flying_disc__16_million_col,human_description,0.9921330482742838,0.0078669517257161,0.0,0.0078669517257161,0.9921330482742838,0.0,0.9921330482742838,human,0.5,1.0,1.0,1.0,0.5,0.875,1.0,1.0,1.0
tosy_flying_disc__16_million_col,llm_description,0.1292407108239095,0.8707592891760906,0.0,0.8707592891760906,0.1292407108239095,0.0,0.8707592891760906,ai,0.5,1.0,1.0,1.0,0.5,0.875,1.0,1.0,1.0
25oz_small_portable_gift_aromath,human_description,0.9610576047184772,0.0389423952815227,0.0,0.0389423952815227,0.9610576047184772,0.0,0.9610576047184772,human,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
25oz_small_portable_gift_aromath,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
jack_henry_cleanse_hair_shampoo_,human_description,0.4190417250252434,0.5809582749747565,0.0,0.5809582749747565,0.4190417250252434,0.0,0.5809582749747565,ai,1.0,1.0,1.0,1.0,0.625,1.0,0.875,0.5,1.0
jack_henry_cleanse_hair_shampoo_,llm_description,0.4187934581629729,0.5806140784916274,0.0005924633453996,0.5806140784916274,0.4187934581629729,0.0005924633453996,0.5806140784916274,ai,1.0,1.0,1.0,1.0,0.625,1.0,0.875,0.5,1.0
sqarr_mini_glass_prep_pinch_bowl,human_description,0.983625881624079,0.0162061435407026,0.0001679748352182,0.0162061435407026,0.983625881624079,0.0001679748352182,0.983625881624079,human,1.0,1.0,1.0,1.0,0.625,1.0,0.875,1.0,1.0
sqarr_mini_glass_prep_pinch_bowl,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,0.875,1.0,1.0
keurig_kcompact_singleserve_kcup,human_description,0.9966837574994304,0.0030100650025685,0.0003061774980008,0.0030100650025685,0.9966837574994304,0.0003061774980008,0.9966837574994304,human,1.0,1.0,1.0,0.5,0.375,0.625,0.75,0.5,0.5
keurig_kcompact_singleserve_kcup,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,0.5,0.375,0.625,0.75,0.5,0.5
walkers_razor_slim_earmuffs_dyna,human_description,0.9854682902229208,0.0145317097770792,0.0,0.0145317097770792,0.9854682902229208,0.0,0.9854682902229208,human,1.0,1.0,1.0,1.0,0.625,1.0,0.75,1.0,1.0
walkers_razor_slim_earmuffs_dyna,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,0.75,1.0,1.0
thames__kosmos_motors__generator,human_description,0.9880768409606596,0.0117547821672823,0.0001683768720582,0.0117547821672823,0.9880768409606596,0.0001683768720582,0.9880768409606596,human,1.0,1.0,1.0,1.0,0.625,0.5,0.75,1.0,0.5
thames__kosmos_motors__generator,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,0.5,0.75,1.0,0.5
hotec_stainless_steel_kitchen_to,human_description,0.9886619548292076,0.0113380451707924,0.0,0.0113380451707924,0.9886619548292076,0.0,0.9886619548292076,human,1.0,1.0,1.0,1.0,0.625,1.0,0.875,0.5,1.0
hotec_stainless_steel_kitchen_to,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,0.875,0.5,1.0
sitmod_gaming_chairs_for_adults_,human_description,0.9719159099143966,0.0280427403364099,4.134974919339651e-05,0.0280427403364099,0.9719159099143966,4.134974919339651e-05,0.9719159099143966,human,0.5,1.0,0.75,1.0,0.25,0.875,0.875,0.5,1.0
sitmod_gaming_chairs_for_adults_,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,0.75,1.0,0.25,0.875,0.875,0.5,1.0
fisherprice_dc_batwheels_155_sca,human_description,0.9872620558771722,0.012698313584881,3.963053794673585e-05,0.012698313584881,0.9872620558771722,3.963053794673585e-05,0.9872620558771722,human,0.5,1.0,0.6666666666666666,1.0,0.375,0.75,0.75,1.0,1.0
fisherprice_dc_batwheels_155_sca,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,0.6666666666666666,1.0,0.375,0.75,0.75,1.0,1.0
redragon_k617_fizz_60_wired_rgb_,human_description,0.9886619548292076,0.0113380451707924,0.0,0.0113380451707924,0.9886619548292076,0.0,0.9886619548292076,human,1.0,1.0,0.0,1.0,0.5,0.75,0.875,0.5,1.0
redragon_k617_fizz_60_wired_rgb_,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,0.0,1.0,0.5,0.75,0.875,0.5,1.0
blisstrends_foot_rest_for_under_,human_description,0.99153255582052,0.0084674441794799,0.0,0.0084674441794799,0.99153255582052,0.0,0.99153255582052,human,1.0,1.0,0.5,1.0,0.625,1.0,0.5,1.0,0.5
blisstrends_foot_rest_for_under_,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,0.5,1.0,0.625,1.0,0.5,1.0,0.5
oannao_silicone_cooking_utensils,human_description,0.983786120662744,0.0161743883298233,3.949100743242534e-05,0.0161743883298233,0.983786120662744,3.949100743242534e-05,0.983786120662744,human,0.5,0.0,0.0,1.0,0.5,0.875,0.75,0.5,0.5
oannao_silicone_cooking_utensils,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,0.0,0.0,1.0,0.5,0.875,0.75,0.5,0.5
hydroponics_growing_system_12_po,human_description,0.99153255582052,0.0084674441794799,0.0,0.0084674441794799,0.99153255582052,0.0,0.99153255582052,human,0.5,0.5,1.0,1.0,0.625,0.5,0.75,0.5,0.5
hydroponics_growing_system_12_po,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,0.5,1.0,1.0,0.625,0.5,0.75,0.5,0.5
cosori_food_dehydrator_for_jerky,human_description,0.7610501821362059,0.2335911481413518,0.0053586697224423,0.2335911481413518,0.7610501821362059,0.0053586697224423,0.7610501821362059,human,0.5,1.0,0.6666666666666666,1.0,0.75,0.625,0.75,0.5,1.0
cosori_food_dehydrator_for_jerky,llm_description,0.2389301790013607,0.759774416413692,0.0012954045849471,0.759774416413692,0.2389301790013607,0.0012954045849471,0.759774416413692,ai,0.5,1.0,0.6666666666666666,1.0,0.75,0.625,0.75,0.5,1.0
just_my_size_wireless_bra_pack_f,human_description,0.99153255582052,0.0084674441794799,0.0,0.0084674441794799,0.99153255582052,0.0,0.99153255582052,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
just_my_size_wireless_bra_pack_f,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
yeswelder_true_color_solar_power,human_description,0.939622641509434,0.060377358490566,0.0,0.060377358490566,0.939622641509434,0.0,0.939622641509434,human,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
yeswelder_true_color_solar_power,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
travelhouse_underseat_hardshell_,human_description,0.99153255582052,0.0084674441794799,0.0,0.0084674441794799,0.99153255582052,0.0,0.99153255582052,human,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0
travelhouse_underseat_hardshell_,llm_description,0.239240091713069,0.7607599082869309,0.0,0.7607599082869309,0.239240091713069,0.0,0.7607599082869309,ai,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0
ariceleo_led_fairy_lights_batter,human_description,0.992082606353182,0.0079173936468178,0.0,0.0079173936468178,0.992082606353182,0.0,0.992082606353182,human,1.0,1.0,0.75,1.0,0.375,1.0,1.0,1.0,1.0
ariceleo_led_fairy_lights_batter,llm_description,0.2390644869337231,0.7602015023990493,0.0007340106672275,0.7602015023990493,0.2390644869337231,0.0007340106672275,0.7602015023990493,ai,1.0,1.0,0.75,1.0,0.375,1.0,1.0,1.0,1.0
lk_2_pack_for_google_pixel_8_scr,human_description,0.9838739042061028,0.0161260957938972,0.0,0.0161260957938972,0.9838739042061028,0.0,0.9838739042061028,human,0.5,1.0,1.0,1.0,0.5,0.875,0.875,1.0,1.0
lk_2_pack_for_google_pixel_8_scr,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,1.0,0.5,0.875,0.875,1.0,1.0
fabric_resistance_bands_for_work,human_description,0.9608762010340496,0.0389350447398384,0.000188754226112,0.0389350447398384,0.9608762010340496,0.000188754226112,0.9608762010340496,human,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
fabric_resistance_bands_for_work,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
fionout_banana_duck_plush_pillow,human_description,0.9838739042061028,0.0161260957938972,0.0,0.0161260957938972,0.9838739042061028,0.0,0.9838739042061028,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
fionout_banana_duck_plush_pillow,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
garmin_instinct_2_solar_surfedit,human_description,0.9608762010340496,0.0389350447398384,0.000188754226112,0.0389350447398384,0.9608762010340496,0.000188754226112,0.9608762010340496,human,0.5,1.0,1.0,0.5,0.375,0.75,0.5,1.0,0.5
garmin_instinct_2_solar_surfedit,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,0.5,0.375,0.75,0.5,1.0,0.5
lowrance_hook_reveal_9_inch_fish,human_description,0.9882789630489176,0.0117210369510823,0.0,0.0117210369510823,0.9882789630489176,0.0,0.9882789630489176,human,0.5,1.0,1.0,1.0,0.625,0.875,0.75,0.5,1.0
lowrance_hook_reveal_9_inch_fish,llm_description,0.5720811051693403,0.4268074973691558,0.0011113974615037,0.4268074973691558,0.5720811051693403,0.0011113974615037,0.5720811051693403,human,0.5,1.0,1.0,1.0,0.625,0.875,0.75,0.5,1.0
12_pack_cheesecloth_table_runner,human_description,0.9915864724083376,0.0084135275916625,0.0,0.0084135275916625,0.9915864724083376,0.0,0.9915864724083376,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
12_pack_cheesecloth_table_runner,llm_description,0.5118444639883235,0.4796538526311548,0.0085016833805217,0.4796538526311548,0.5118444639883235,0.0085016833805217,0.5118444639883235,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
olive_oil_sprayer_for_cooking_20,human_description,0.9886619548292076,0.0113380451707924,0.0,0.0113380451707924,0.9886619548292076,0.0,0.9886619548292076,human,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
olive_oil_sprayer_for_cooking_20,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
ucanbe_athena_face_body_paint_oi,human_description,0.9985006054406604,0.0014993945593397,0.0,0.0014993945593397,0.9985006054406604,0.0,0.9985006054406604,human,1.0,1.0,1.0,0.5,0.625,0.75,0.875,1.0,1.0
ucanbe_athena_face_body_paint_oi,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,0.5,0.625,0.75,0.875,1.0,1.0
ginmewrae_women_fuzzy_socks_cozy,human_description,0.9838249729020612,0.0161750270979386,0.0,0.0161750270979386,0.9838249729020612,0.0,0.9838249729020612,human,1.0,1.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0
ginmewrae_women_fuzzy_socks_cozy,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0
rokid_ar_joy_pack_ar_glasses_and,human_description,0.9838249729020612,0.0161750270979386,0.0,0.0161750270979386,0.9838249729020612,0.0,0.9838249729020612,human,1.0,1.0,0.6666666666666666,1.0,0.5,0.875,0.5,0.5,1.0
rokid_ar_joy_pack_ar_glasses_and,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,0.6666666666666666,1.0,0.5,0.875,0.5,0.5,1.0
5_pairs_natural_bamboo_reusable_,human_description,0.9877530351803584,0.0122469648196415,0.0,0.0122469648196415,0.9877530351803584,0.0,0.9877530351803584,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.5,1.0
5_pairs_natural_bamboo_reusable_,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.5,1.0
bose_soundlink_flex_bluetooth_sp,human_description,0.9610148666808178,0.0389406635210664,4.446979811567727e-05,0.0389406635210664,0.9610148666808178,4.446979811567727e-05,0.9610148666808178,human,1.0,1.0,0.5,1.0,0.625,0.5,0.5,0.5,1.0
bose_soundlink_flex_bluetooth_sp,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,0.5,1.0,0.625,0.5,0.5,0.5,1.0
cozsinoor_queen_size_cooling_bed,human_description,0.9985006054406604,0.0014993945593397,0.0,0.0014993945593397,0.9985006054406604,0.0,0.9985006054406604,human,0.5,1.0,1.0,1.0,0.75,1.0,0.75,0.5,1.0
cozsinoor_queen_size_cooling_bed,llm_description,0.5278399440135711,0.4711346070272583,0.0010254489591704,0.4711346070272583,0.5278399440135711,0.0010254489591704,0.5278399440135711,human,0.5,1.0,1.0,1.0,0.75,1.0,0.75,0.5,1.0
roundfire_concrete_tabletop_fire,human_description,0.9923160904814304,0.0076839095185695,0.0,0.0076839095185695,0.9923160904814304,0.0,0.9923160904814304,human,0.5,1.0,1.0,1.0,0.625,0.875,0.875,0.5,0.5
roundfire_concrete_tabletop_fire,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,1.0,0.625,0.875,0.875,0.5,0.5
ticonderoga_woodcased_pencils_pr,human_description,0.9809559593179676,0.0185914907337202,0.0004525499483121,0.0185914907337202,0.9809559593179676,0.0004525499483121,0.9809559593179676,human,0.5,1.0,1.0,1.0,0.625,0.875,0.75,0.5,1.0
ticonderoga_woodcased_pencils_pr,llm_description,0.1292153310651919,0.8705882930517305,0.0001963758830777,0.8705882930517305,0.1292153310651919,0.0001963758830777,0.8705882930517305,ai,0.5,1.0,1.0,1.0,0.625,0.875,0.75,0.5,1.0
gigizaza_gold_velvet_decorative_,human_description,0.9740539701802078,0.0259045891077337,4.144071205844462e-05,0.0259045891077337,0.9740539701802078,4.144071205844462e-05,0.9740539701802078,human,1.0,1.0,1.0,0.5,0.375,1.0,0.875,1.0,1.0
gigizaza_gold_velvet_decorative_,llm_description,0.5748534896110815,0.4251465103889185,0.0,0.4251465103889185,0.5748534896110815,0.0,0.5748534896110815,human,1.0,1.0,1.0,0.5,0.375,1.0,0.875,1.0,1.0
gorilla_carts_gor400com_steel_ga,human_description,0.9922287148723514,0.0077328900271718,3.839510047662204e-05,0.0077328900271718,0.9922287148723514,3.839510047662204e-05,0.9922287148723514,human,0.5,1.0,0.5,1.0,0.625,0.375,0.125,0.5,0.5
gorilla_carts_gor400com_steel_ga,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,0.5,1.0,0.625,0.375,0.125,0.5,0.5
maga_hat_make_america_great_agai,human_description,0.99153255582052,0.0084674441794799,0.0,0.0084674441794799,0.99153255582052,0.0,0.99153255582052,human,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
maga_hat_make_america_great_agai,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0
clementine_apparel__girls_and_wo,human_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,0.0,1.0,0.625,0.875,1.0,1.0,1.0
clementine_apparel__girls_and_wo,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,0.0,1.0,0.625,0.875,1.0,1.0,1.0
electronic_organizer_travel_usb_,human_description,0.9834530882962552,0.0165066095527612,4.030215098337248e-05,0.0165066095527612,0.9834530882962552,4.030215098337248e-05,0.9834530882962552,human,1.0,1.0,1.0,1.0,0.25,0.875,0.875,1.0,1.0
electronic_organizer_travel_usb_,llm_description,0.2390644869337231,0.7602015023990493,0.0007340106672275,0.7602015023990493,0.2390644869337231,0.0007340106672275,0.7602015023990493,ai,1.0,1.0,1.0,1.0,0.25,0.875,0.875,1.0,1.0
jump_rope_tanglefree_rapid_speed,human_description,0.9872373615158012,0.0124477860301363,0.0003148524540624,0.0124477860301363,0.9872373615158012,0.0003148524540624,0.9872373615158012,human,0.5,1.0,1.0,1.0,0.375,0.625,0.875,0.5,0.5
jump_rope_tanglefree_rapid_speed,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,1.0,0.375,0.625,0.875,0.5,0.5
steelseries_usbapex5hybrid_mecha,human_description,0.9923160904814304,0.0076839095185695,0.0,0.0076839095185695,0.9923160904814304,0.0,0.9923160904814304,human,0.5,1.0,1.0,1.0,0.5,0.75,0.625,0.5,1.0
steelseries_usbapex5hybrid_mecha,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,1.0,0.5,0.75,0.625,0.5,1.0
suphanlin_4_pack_snake_repellent,human_description,0.9610576047184772,0.0389423952815227,0.0,0.0389423952815227,0.9610576047184772,0.0,0.9610576047184772,human,0.5,1.0,1.0,1.0,0.375,0.625,0.875,1.0,1.0
suphanlin_4_pack_snake_repellent,llm_description,0.5447075030680852,0.4551513297184298,0.000141167213485,0.4551513297184298,0.5447075030680852,0.000141167213485,0.5447075030680852,human,0.5,1.0,1.0,1.0,0.375,0.625,0.875,1.0,1.0
wedding_planner_book_and_organiz,human_description,0.9882789630489176,0.0117210369510823,0.0,0.0117210369510823,0.9882789630489176,0.0,0.9882789630489176,human,0.5,0.5,0.5,1.0,0.5,0.75,0.875,0.5,0.5
wedding_planner_book_and_organiz,llm_description,0.5726326283052224,0.427218967363952,0.0001484043308255,0.427218967363952,0.5726326283052224,0.0001484043308255,0.5726326283052224,human,0.5,0.5,0.5,1.0,0.5,0.75,0.875,0.5,0.5
amazon_basics_flextra_tall_kitch,human_description,0.933266444568998,0.0665300318508719,0.0002035235801301,0.0665300318508719,0.933266444568998,0.0002035235801301,0.933266444568998,human,1.0,0.5,1.0,1.0,0.5,0.875,0.625,1.0,1.0
amazon_basics_flextra_tall_kitch,llm_description,0.5155456690945448,0.4831222837923398,0.0013320471131153,0.4831222837923398,0.5155456690945448,0.0013320471131153,0.5155456690945448,human,1.0,0.5,1.0,1.0,0.5,0.875,0.625,1.0,1.0
dewalt_20v_max_cordless_drill_an,human_description,0.982463808149768,0.0171194734212012,0.0004167184290307,0.0171194734212012,0.982463808149768,0.0004167184290307,0.982463808149768,human,0.5,1.0,1.0,1.0,0.25,0.875,0.75,1.0,1.0
dewalt_20v_max_cordless_drill_an,llm_description,0.0,0.9997817129402532,0.0002182870597468,0.9997817129402532,0.0,0.0002182870597468,0.9997817129402532,ai,0.5,1.0,1.0,1.0,0.25,0.875,0.75,1.0,1.0
plugo_stem_pack_by_playshifu__co,human_description,0.9610576047184772,0.0389423952815227,0.0,0.0389423952815227,0.9610576047184772,0.0,0.9610576047184772,human,0.5,1.0,0.3333333333333333,1.0,0.5,0.875,0.875,0.5,1.0
plugo_stem_pack_by_playshifu__co,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,0.3333333333333333,1.0,0.5,0.875,0.875,0.5,1.0
thames__kosmos_structural_engine,human_description,0.9882398787733476,0.011720573409658,3.954781699416028e-05,0.011720573409658,0.9882398787733476,3.954781699416028e-05,0.9882398787733476,human,0.5,1.0,0.75,0.5,0.375,0.75,0.625,0.5,0.5
thames__kosmos_structural_engine,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,0.75,0.5,0.375,0.75,0.625,0.5,0.5
amazon_brand__presto_flexasize_p,human_description,0.9719159099143966,0.0280427403364099,4.134974919339651e-05,0.0280427403364099,0.9719159099143966,4.134974919339651e-05,0.9719159099143966,human,1.0,1.0,1.0,1.0,0.75,1.0,0.625,0.5,1.0
amazon_brand__presto_flexasize_p,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.75,1.0,0.625,0.5,1.0
manicure_set_personal_care_nail_,human_description,0.9740539701802078,0.0259045891077337,4.144071205844462e-05,0.0259045891077337,0.9740539701802078,4.144071205844462e-05,0.9740539701802078,human,1.0,1.0,1.0,1.0,0.625,1.0,0.875,1.0,1.0
manicure_set_personal_care_nail_,llm_description,0.1468304812465648,0.851069996447778,0.0020995223056572,0.851069996447778,0.1468304812465648,0.0020995223056572,0.851069996447778,ai,1.0,1.0,1.0,1.0,0.625,1.0,0.875,1.0,1.0
tscomon_41_cat_house_cat_tree_fo,human_description,0.9825653939840092,0.0171212435586606,0.0003133624573301,0.0171212435586606,0.9825653939840092,0.0003133624573301,0.9825653939840092,human,1.0,1.0,0.6666666666666666,1.0,0.5,0.75,1.0,1.0,1.0
