,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
bulova_mens_marine_star_gold_chr,11,38,1,0.7755102040816326
lowrance_hook_reveal_9_inch_fish,12,38,0,0.76
amazon_brand__presto_flexasize_p,12,38,0,0.76
soundcore_by_anker_sleep_a10_blu,12,38,0,0.76
midwest_homes_for_pets_hamster_c,12,37,1,0.7551020408163265
bingopaw_playpen_welded_wire_dog,12,36,2,0.75
fabric_resistance_bands_for_work,13,37,0,0.74
thames__kosmos_motors__generator,13,37,0,0.74
yes4all_premium_surf_balance_boa,13,36,1,0.7346938775510204
travelhouse_underseat_hardshell_,13,36,1,0.7346938775510204
ottsuls_shepherdhooks_adjustable,14,36,0,0.72
lincoln_electric_leather_welding,14,36,0,0.72
4in1_kitchen_knife_accessories_3,14,36,0,0.72
sitmod_gaming_chairs_for_adults_,14,36,0,0.72
cozsinoor_queen_size_cooling_bed,14,35,1,0.7142857142857143
ticonderoga_woodcased_pencils_pr,15,35,0,0.7
matein_17_inch_laptop_backpack_t,15,34,1,0.6938775510204082
oannao_silicone_cooking_utensils,15,34,1,0.6938775510204082
lk_2_pack_for_google_pixel_8_scr,15,33,2,0.6875
zuzuan_2_piece_hammer_setinclude,16,34,0,0.68
suclain_set_of_12_christmas_nati,16,34,0,0.68
3pack_italy_travel_power_adapter,16,34,0,0.68
plugo_stem_pack_by_playshifu__co,16,32,2,0.6666666666666666
thames__kosmos_structural_engine,17,33,0,0.66
blisstrends_foot_rest_for_under_,17,33,0,0.66
avapow_car_jump_starter_4000a_pe,17,33,0,0.66
roundfire_concrete_tabletop_fire,17,33,0,0.66
steelseries_usbapex5hybrid_mecha,17,32,1,0.6530612244897959
bose_soundlink_flex_bluetooth_sp,18,31,1,0.6326530612244898
squirrel_housenesting_box_cedar_,19,31,0,0.62
garmin_instinct_2_solar_surfedit,18,29,3,0.6170212765957447
bissell_crosswave_cordless_max_a,19,30,1,0.6122448979591837
gorilla_carts_gor400com_steel_ga,20,29,1,0.5918367346938775
kitchedaid_5_more_then_20_color_,41,57,2,0.5816326530612245
jump_rope_tanglefree_rapid_speed,21,28,1,0.5714285714285714
owala_freesip_insulated_stainles,21,28,1,0.5714285714285714
bakugan_battle_arena_with_exclus,22,26,2,0.5416666666666666
darkecho_gaming_office_chair_wit,23,27,0,0.54
keurig_kcompact_singleserve_kcup,23,26,1,0.5306122448979592
cosori_food_dehydrator_for_jerky,24,26,0,0.52
hydroponics_growing_system_12_po,24,26,0,0.52
apple_2023_macbook_pro_laptop_m2,24,25,1,0.5102040816326531
wedding_planner_book_and_organiz,26,24,0,0.48
kissair_compact_1500w750w_space_,31,17,2,0.3541666666666667
upgradedkizjorya_dance_mat_for_k,34,14,2,0.2916666666666667
