,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
tscomon_41_cat_house_cat_tree_fo,9,40,1,0.8163265306122449
metene_shower_brush_with_soft_an,9,40,1,0.8163265306122449
4in1_kitchen_knife_accessories_3,9,39,2,0.8125
hammam_linen_white_bath_towels_4,9,39,2,0.8125
heytoo_9inch_glitter_women_handh,9,39,2,0.8125
cordless_handheld_standard_range,10,40,0,0.8
lincoln_electric_leather_welding,10,38,2,0.7916666666666666
suphanlin_4_pack_snake_repellent,11,39,0,0.78
yes4all_premium_surf_balance_boa,11,39,0,0.78
walkers_razor_slim_earmuffs_dyna,11,39,0,0.78
tosy_flying_disc__16_million_col,11,38,1,0.7755102040816326
soundcore_by_anker_sleep_a10_blu,11,37,2,0.7708333333333334
fabric_resistance_bands_for_work,12,38,0,0.76
kitchenaid_5_ultra_power_speed_h,12,36,2,0.75
2_set_157_gold_circle_mirrors_wa,12,36,2,0.75
hasbro_gaming_taboo_kids_vs_pare,12,35,3,0.7446808510638298
matein_17_inch_laptop_backpack_t,13,37,0,0.74
mainstays_cool_mist_humidifier_1,13,37,0,0.74
sleep_headphones_3d_sleep_mask_b,13,37,0,0.74
squirrel_housenesting_box_cedar_,13,37,0,0.74
hotec_stainless_steel_kitchen_to,13,36,1,0.7346938775510204
6pack3366610_ft_original_apple_m,13,36,1,0.7346938775510204
yiview_sleep_mask_for_men_women_,13,36,1,0.7346938775510204
3pack_italy_travel_power_adapter,13,36,1,0.7346938775510204
maskiss_25pairs_24k_gold_under_e,13,35,2,0.7291666666666666
breylee_aloe_vera_eye_mask_60_pc,13,35,2,0.7291666666666666
amazon_brand__presto_flexasize_p,14,36,0,0.72
sitmod_gaming_chairs_for_adults_,14,36,0,0.72
rokid_ar_joy_pack_ar_glasses_and,14,36,0,0.72
5_pairs_natural_bamboo_reusable_,14,35,1,0.7142857142857143
plugo_stem_pack_by_playshifu__co,14,35,1,0.7142857142857143
steelseries_usbapex5hybrid_mecha,14,34,2,0.7083333333333334
thames__kosmos_motors__generator,15,35,0,0.7
midwest_homes_for_pets_hamster_c,15,34,1,0.6938775510204082
christmas_coffee_spoons_set_of_8,15,34,1,0.6938775510204082
roundfire_concrete_tabletop_fire,15,34,1,0.6938775510204082
giant_fly_glue_trap_by_catchmast,15,34,1,0.6938775510204082
bingopaw_playpen_welded_wire_dog,15,34,1,0.6938775510204082
julep_eyeshadow_101_crme_to_powd,15,33,2,0.6875
prelit_artificial_christmas_wrea,16,34,0,0.68
fisherprice_dc_batwheels_155_sca,16,34,0,0.68
ticonderoga_woodcased_pencils_pr,16,34,0,0.68
ottsuls_shepherdhooks_adjustable,16,33,1,0.673469387755102
electronic_organizer_travel_usb_,17,33,0,0.66
avapow_car_jump_starter_4000a_pe,17,32,1,0.6530612244897959
oannao_silicone_cooking_utensils,17,32,1,0.6530612244897959
legendary_whitetails_mens_buck_c,17,31,2,0.6458333333333334
just_my_size_wireless_bra_pack_f,17,31,2,0.6458333333333334
travelhouse_underseat_hardshell_,18,32,0,0.64
thames__kosmos_structural_engine,18,31,1,0.6326530612244898
bissell_crosswave_cordless_max_a,17,29,4,0.6304347826086957
bose_soundlink_flex_bluetooth_sp,18,30,2,0.625
bulova_mens_marine_star_gold_chr,19,31,0,0.62
zuzuan_2_piece_hammer_setinclude,20,30,0,0.6
board_game_azul,20,30,0,0.6
suclain_set_of_12_christmas_nati,20,30,0,0.6
kitchedaid_5_more_then_20_color_,40,59,1,0.5959595959595959
cozsinoor_queen_size_cooling_bed,20,28,2,0.5833333333333334
bakugan_battle_arena_with_exclus,21,28,1,0.5714285714285714
jump_rope_tanglefree_rapid_speed,21,27,2,0.5625
lk_2_pack_for_google_pixel_8_scr,22,26,2,0.5416666666666666
owala_freesip_insulated_stainles,22,26,2,0.5416666666666666
darkecho_gaming_office_chair_wit,22,26,2,0.5416666666666666
apple_2023_macbook_pro_laptop_m2,24,26,0,0.52
gorilla_carts_gor400com_steel_ga,23,23,4,0.5
blisstrends_foot_rest_for_under_,25,25,0,0.5
keurig_kcompact_singleserve_kcup,27,22,1,0.4489795918367347
cosori_food_dehydrator_for_jerky,27,21,2,0.4375
kissair_compact_1500w750w_space_,29,19,2,0.3958333333333333
wedding_planner_book_and_organiz,32,18,0,0.36
garmin_instinct_2_solar_surfedit,31,16,3,0.3404255319148936
hydroponics_growing_system_12_po,34,15,1,0.30612244897959184
upgradedkizjorya_dance_mat_for_k,42,7,1,0.14285714285714285
