,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
named_entity_recognition_with_ch,24.0,40.0,2.0,0.625
naseeb_apna_apna,6.0,43.0,1.0,0.8775510204081632
night_of_the_demons_2,27.0,21.0,2.0,0.4375
nimas_trujano,14.0,34.0,2.0,0.7083333333333334
nltk_the_natural_language_toolki,29.0,31.0,6.0,0.5166666666666667
no_sos_vos_soy_yo,13.0,34.0,3.0,0.723404255319149
november,14.0,32.0,4.0,0.6956521739130435
oannao_silicone_cooking_utensils,16.0,33.0,1.0,0.673469387755102
olive_oil_sprayer_for_cooking_20,3.5,46.0,0.5,0.9289795918367347
on_the_edge_of_innocence,18.0,29.0,3.0,0.6170212765957447
once_upon_a_time_in_china_ii,26.0,21.0,3.0,0.44680851063829785
operation_rabbit,28.0,16.0,6.0,0.36363636363636365
ottsuls_shepherdhooks_adjustable,15.0,34.5,0.5,0.6967346938775509
our_gang_follies_of_1938,29.0,18.0,3.0,0.3829787234042553
owala_freesip_insulated_stainles,21.5,27.0,1.5,0.5565476190476191
padagotti,22.0,23.0,5.0,0.5111111111111111
papillon,18.0,29.0,3.0,0.6170212765957447
parsing_the_wall_street_journal_,14.0,49.0,3.0,0.7777777777777778
peewees_big_adventure,27.0,17.0,6.0,0.38636363636363635
pepi_luci_bom_and_other_girls_on,11.0,35.0,4.0,0.7608695652173914
personalizing_pagerank_for_word_,5.0,59.0,2.0,0.921875
philips_sonicare_4100_power_toot,6.0,43.0,1.0,0.8775510204081632
phrasal_cohesion_and_statistical,8.0,54.0,4.0,0.8709677419354839
pierrot_le_fou,15.0,34.0,1.0,0.6938775510204082
plugo_stem_pack_by_playshifu__co,15.0,33.5,1.5,0.6904761904761905
polladhavan,17.0,30.0,3.0,0.6382978723404256
poochakkoru_mookkuthi,20.0,26.0,4.0,0.5652173913043478
prelit_artificial_christmas_wrea,13.5,36.0,0.5,0.7277551020408164
pronunciation_modeling_for_impro,34.0,27.0,5.0,0.4426229508196721
prototypedriven_learning_for_seq,41.0,20.0,5.0,0.32786885245901637
pyaar_ke_side_effects,13.0,34.0,3.0,0.723404255319149
quality_street,10.0,36.0,4.0,0.782608695652174
rabbit_fire,13.0,33.0,4.0,0.717391304347826
randomised_language_modelling_fo,2.0,62.0,2.0,0.96875
rayban_rb2180_round_sunglasses,6.0,44.0,0.0,0.88
raymate_bluetooth_speakers_pair_,5.5,44.0,0.5,0.8883673469387755
realspace_magellan_59w_managers_,5.0,44.0,1.0,0.8983333333333333
redemption_kickboxer_5,24.0,25.0,1.0,0.5102040816326531
redragon_k617_fizz_60_wired_rgb_,6.5,42.5,1.0,0.8670833333333333
regular_models_of_phonological_r,17.0,27.0,4.0,0.6136363636363636
representing_text_chunks,15.0,49.0,2.0,0.765625
reranking_and_selftraining_for_p,7.0,52.0,7.0,0.8813559322033898
rescue_dawn,13.0,33.0,4.0,0.717391304347826
road_to_singapore,17.0,31.0,2.0,0.6458333333333334
rokid_ar_joy_pack_ar_glasses_and,11.5,38.0,0.5,0.7681632653061224
rokkk,8.0,38.0,4.0,0.8260869565217391
roots_the_gift,27.0,20.0,3.0,0.425531914893617
roundfire_concrete_tabletop_fire,16.0,33.5,0.5,0.6769387755102041
rudraveena,25.0,23.0,2.0,0.4791666666666667
run_fat_boy_run,23.0,21.0,6.0,0.4772727272727273
sakigake_otokojuku,16.0,33.0,1.0,0.673469387755102
salt_water_tabby,24.0,23.0,3.0,0.48936170212765956
samson,17.0,26.0,7.0,0.6046511627906976
saravana,13.0,34.0,3.0,0.723404255319149
satan_in_high_heels,30.0,17.0,3.0,0.3617021276595745
satans_little_helper,15.0,32.0,3.0,0.6808510638297872
sebastian_star_bear_first_missio,9.0,37.0,4.0,0.8043478260869565
see_no_evil,10.0,36.0,4.0,0.782608695652174
semeval2010_task_13_tempeval2,13.0,48.0,5.0,0.7868852459016393
semiring_parsing,19.0,27.0,2.0,0.5869565217391305
sentence_level_discourse_parsing,50.0,13.0,3.0,0.20634920634920634
seven_men_from_now,20.0,23.0,7.0,0.5348837209302325
severance,12.0,32.0,6.0,0.7272727272727273
shakalaka_boom_boom,4.0,44.0,2.0,0.9166666666666666
shaolin_chamber_of_death,26.0,22.0,2.0,0.4583333333333333
sitmod_gaming_chairs_for_adults_,14.0,36.0,0.0,0.72
six_degrees_of_separation,10.0,38.0,2.0,0.7916666666666666
sleep_headphones_3d_sleep_mask_b,11.5,38.0,0.5,0.7679591836734694
small_town_story,22.0,24.0,4.0,0.5217391304347826
snoopy_the_musical,16.0,29.0,5.0,0.6444444444444445
snow_falling_on_cedars,11.0,35.0,4.0,0.7608695652173914
soft_syntactic_constraints_for_w,9.0,55.0,2.0,0.859375
soundcore_by_anker_sleep_a10_blu,11.5,37.5,1.0,0.7654166666666666
spacecamp,23.0,23.0,4.0,0.5
spanish_masala,13.0,35.0,2.0,0.7291666666666666
spider_forest,19.0,27.0,4.0,0.5869565217391305
spun,9.0,39.0,2.0,0.8125
sqarr_mini_glass_prep_pinch_bowl,6.5,43.0,0.5,0.8685714285714285
squirrel_housenesting_box_cedar_,16.0,34.0,0.0,0.6799999999999999
stainless_steel_refrigerator_sho,7.0,42.5,0.5,0.8589795918367347
stardust,16.0,26.0,8.0,0.6190476190476191
statistical_decisiontree_models_,42.0,19.0,5.0,0.3114754098360656
statistical_machine_translation_,13.0,48.0,5.0,0.7868852459016393
steelseries_usbapex5hybrid_mecha,15.5,33.0,1.5,0.6806972789115646
stochastic_lexicalized_treeadjoi,48.0,11.0,7.0,0.1864406779661017
stolen_holiday,17.0,27.0,6.0,0.6136363636363636
street_fighter_alpha,23.0,26.0,1.0,0.5306122448979592
streets_of_fire,21.0,25.0,4.0,0.5434782608695652
suclain_set_of_12_christmas_nati,18.0,32.0,0.0,0.64
summer_heat,7.0,40.0,3.0,0.851063829787234
super_troopers,19.0,30.0,1.0,0.6122448979591837
suphanlin_4_pack_snake_repellent,10.5,39.5,0.0,0.79
table_for_five,25.0,24.0,1.0,0.4897959183673469
tailoring_word_alignments_to_syn,23.0,41.0,2.0,0.640625
tamil_padam,16.0,32.0,2.0,0.6666666666666666
tangled,20.0,29.0,1.0,0.5918367346938775
tango,15.0,32.0,3.0,0.6808510638297872
teen_thay_bhai,14.0,33.0,3.0,0.7021276595744681
text_chunking_using_transformati,21.0,41.0,4.0,0.6612903225806451
thames__kosmos_motors__generator,14.0,36.0,0.0,0.72
thames__kosmos_structural_engine,17.5,32.0,0.5,0.646326530612245
the_addams_family,20.0,27.0,3.0,0.574468085106383
the_alignment_template_approach_,12.0,35.0,1.0,0.7446808510638298
the_arrogant,18.0,30.0,2.0,0.625
the_belles_of_st_trinians,20.0,28.0,2.0,0.5833333333333334
the_blot,14.0,33.0,3.0,0.7021276595744681
the_bone_snatcher,17.0,32.0,1.0,0.6530612244897959
the_chaser,19.0,25.0,6.0,0.5681818181818182
the_curse_of_frankenstein,12.0,36.0,2.0,0.75
the_damned,23.0,24.0,3.0,0.5106382978723404
the_damned_thing,19.0,30.0,1.0,0.6122448979591837
the_detonator,15.0,33.0,2.0,0.6875
the_elementary_school,20.0,23.0,7.0,0.5348837209302325
the_fairhaired_hare,24.0,25.0,1.0,0.5102040816326531
the_gendarme_in_new_york,19.0,29.0,2.0,0.6041666666666666
the_goofy_gophers,19.0,30.0,1.0,0.6122448979591837
the_grammar_matrix_an_opensource,43.0,20.0,3.0,0.31746031746031744
the_hasty_hare,16.0,27.0,7.0,0.627906976744186
the_hill,11.0,34.0,5.0,0.7555555555555555
the_hit,3.0,45.0,2.0,0.9375
the_hot_chick,17.0,31.0,2.0,0.6458333333333334
the_icsi_meeting_recorder_dialog,20.0,44.0,2.0,0.6875
the_infidel,24.0,23.0,3.0,0.48936170212765956
the_joneses,17.0,28.0,5.0,0.6222222222222222
the_journey_of_jared_price,8.0,37.0,5.0,0.8222222222222222
the_killing_jar,23.0,23.0,4.0,0.5
the_lincoln_lawyer,20.0,27.0,3.0,0.574468085106383
the_mad_magician,12.0,33.0,5.0,0.7333333333333333
the_magic_riddle,15.0,30.0,5.0,0.6666666666666666
the_merry_old_soul,18.0,29.0,3.0,0.6170212765957447
the_miracle_man,15.0,33.0,2.0,0.6875
the_perfect_circle,28.0,20.0,2.0,0.4166666666666667
the_reliability_of_a_dialogue_st,34.0,30.0,2.0,0.46875
the_republic_of_tea__limitededit,10.0,39.5,0.5,0.7981632653061225
the_second_release_of_the_rasp_s,31.0,26.0,9.0,0.45614035087719296
the_smashing_bird_i_used_to_know,26.0,22.0,2.0,0.4583333333333333
the_super_dimension_fortress_mac,22.0,26.0,2.0,0.5416666666666666
the_thrill_killers,20.0,28.0,2.0,0.5833333333333334
the_trap,20.0,25.0,5.0,0.5555555555555556
the_trial,24.0,22.0,4.0,0.4782608695652174
the_vulture,21.0,29.0,0.0,0.58
the_whistle_blower,18.0,30.0,2.0,0.625
there_they_gogogo,24.0,20.0,6.0,0.45454545454545453
ticket_to_heaven,19.0,25.0,6.0,0.5681818181818182
ticonderoga_woodcased_pencils_pr,15.5,34.5,0.0,0.69
til_there_was_you,22.0,26.0,2.0,0.5416666666666666
tirangaa,15.0,34.0,1.0,0.6938775510204082
toh_baat_pakki,24.0,25.0,1.0,0.5102040816326531
tolable_david,23.0,23.0,4.0,0.5
tosy_flying_disc__16_million_col,11.0,38.5,0.5,0.7777551020408163
totally_spies_the_movie,17.0,27.0,6.0,0.6136363636363636
tower_of_london,12.0,34.0,4.0,0.7391304347826086
traffic,20.0,27.0,3.0,0.574468085106383
transductive_learning_for_statis,26.0,33.0,7.0,0.559322033898305
transit,17.0,26.0,7.0,0.6046511627906976
trapped_in_the_closet_chapters_1,12.0,30.0,8.0,0.7142857142857143
travelhouse_underseat_hardshell_,15.5,34.0,0.5,0.6873469387755102
trial_by_jury,13.0,35.0,2.0,0.7291666666666666
tscomon_41_cat_house_cat_tree_fo,7.5,41.5,1.0,0.846938775510204
ttolbi_door_leg_stretcher_stretc,3.0,46.5,0.5,0.9395918367346938
two_for_the_road,13.0,32.0,5.0,0.7111111111111111
two_languages_are_better_than_on,36.0,24.0,6.0,0.4
ucanbe_athena_face_body_paint_oi,7.0,43.0,0.0,0.86
unsupervised_discovery_of_morphe,13.0,49.0,4.0,0.7903225806451613
unsupervised_learning_of_disambi,31.0,30.0,5.0,0.4918032786885246
unsupervised_multilingual_learni,23.0,42.0,1.0,0.6461538461538462
up_in_the_air,21.0,24.0,5.0,0.5333333333333333
up_up_and_away,10.0,33.0,7.0,0.7674418604651163
upgradedkizjorya_dance_mat_for_k,38.0,10.5,1.5,0.21726190476190477
vans_womens_doheny_platform_snea,0.5,49.5,0.0,0.99
vectorbased_models_of_semantic_c,24.0,40.0,2.0,0.625
viva_max,25.0,21.0,4.0,0.45652173913043476
walkers_razor_slim_earmuffs_dyna,7.0,43.0,0.0,0.86
wedding_planner_book_and_organiz,29.0,21.0,0.0,0.42
