Item Type,Item Name,Total Human,Total LLM,Total Invalid,LLM_Preference_Ratio
product,bulova_mens_marine_star_gold_chr,30,69,1,0.696969696969697
product,walkers_razor_slim_earmuffs_dyna,14,86,0,0.86
product,tscomon_41_cat_house_cat_tree_fo,15,83,2,0.8469387755102041
product,thames__kosmos_motors__generator,28,72,0,0.72
product,keurig_kcompact_singleserve_kcup,50,48,2,0.4897959183673469
product,zuzuan_2_piece_hammer_setinclude,36,64,0,0.64
product,lincoln_electric_leather_welding,24,74,2,0.7551020408163265
product,yiview_sleep_mask_for_men_women_,23,76,1,0.7676767676767676
product,cute_ballet_dance_bag_kidstutu_d,1,98,1,0.98989898989899
product,blisstrends_foot_rest_for_under_,42,58,0,0.58
product,avapow_car_jump_starter_4000a_pe,34,65,1,0.6565656565656566
product,thames__kosmos_structural_engine,35,64,1,0.6464646464646465
product,heytoo_9inch_glitter_women_handh,10,87,3,0.8969072164948454
product,legendary_whitetails_mens_buck_c,28,69,3,0.711340206185567
product,redragon_k617_fizz_60_wired_rgb_,13,85,2,0.8673469387755102
product,breylee_aloe_vera_eye_mask_60_pc,21,76,3,0.7835051546391752
product,hasbro_gaming_taboo_kids_vs_pare,20,76,4,0.7916666666666666
product,sleep_headphones_3d_sleep_mask_b,23,76,1,0.7676767676767676
product,amazon_basics_flextra_tall_kitch,10,88,2,0.8979591836734694
product,ticonderoga_woodcased_pencils_pr,31,69,0,0.69
product,tosy_flying_disc__16_million_col,22,77,1,0.7777777777777778
product,steelseries_usbapex5hybrid_mecha,31,66,3,0.6804123711340206
product,jump_rope_tanglefree_rapid_speed,42,55,3,0.5670103092783505
product,maga_hat_make_america_great_agai,5,92,3,0.9484536082474226
product,fionout_banana_duck_plush_pillow,14,85,1,0.8585858585858586
product,vans_womens_doheny_platform_snea,1,99,0,0.99
product,gama_italy_professional_hair_dry,14,83,3,0.8556701030927835
product,yingzhao_set_of_5_poinsettia_chr,18,82,0,0.82
product,6pack3366610_ft_original_apple_m,22,76,2,0.7755102040816326
product,gigizaza_gold_velvet_decorative_,8,92,0,0.92
product,rokid_ar_joy_pack_ar_glasses_and,23,76,1,0.7676767676767676
product,sqarr_mini_glass_prep_pinch_bowl,13,86,1,0.8686868686868687
product,manicure_set_personal_care_nail_,9,91,0,0.91
product,giant_fly_glue_trap_by_catchmast,25,74,1,0.7474747474747475
product,fisherprice_dc_batwheels_155_sca,27,73,0,0.73
product,darkecho_gaming_office_chair_wit,45,53,2,0.5408163265306123
product,maskiss_25pairs_24k_gold_under_e,21,76,3,0.7835051546391752
product,kissair_compact_1500w750w_space_,60,36,4,0.375
product,the_republic_of_tea__limitededit,20,79,1,0.797979797979798
product,electronic_organizer_travel_usb_,21,79,0,0.79
product,garmin_instinct_2_solar_surfedit,49,45,6,0.4787234042553192
product,cosori_food_dehydrator_for_jerky,51,47,2,0.47959183673469385
product,25oz_small_portable_gift_aromath,7,93,0,0.93
product,cordless_handheld_standard_range,20,80,0,0.8
product,hammam_linen_white_bath_towels_4,16,80,4,0.8333333333333334
product,mainstays_cool_mist_humidifier_1,22,77,1,0.7777777777777778
product,rayban_rb2180_round_sunglasses,12,88,0,0.88
product,yamiu_travel_shoe_bags_set_of_4_,12,85,3,0.8762886597938144
product,cozsinoor_queen_size_cooling_bed,34,63,3,0.6494845360824743
product,gorilla_carts_gor400com_steel_ga,43,52,5,0.5473684210526316
product,raymate_bluetooth_speakers_pair_,11,88,1,0.8888888888888888
product,cartman_39_piece_tool_set_genera,10,89,1,0.898989898989899
product,suphanlin_4_pack_snake_repellent,21,79,0,0.79
product,hydroponics_growing_system_12_po,58,41,1,0.41414141414141414
product,lowrance_hook_reveal_9_inch_fish,20,80,0,0.8
product,jack_henry_cleanse_hair_shampoo_,11,88,1,0.8888888888888888
product,stainless_steel_refrigerator_sho,14,85,1,0.8585858585858586
product,ucanbe_athena_face_body_paint_oi,14,86,0,0.86
product,ginmewrae_women_fuzzy_socks_cozy,0,100,0,1.0
product,philips_sonicare_4100_power_toot,12,86,2,0.8775510204081632
product,amazon_basics_easy_grip_workout_,15,84,1,0.8484848484848485
product,bingopaw_playpen_welded_wire_dog,27,70,3,0.7216494845360825
product,3pack_italy_travel_power_adapter,29,70,1,0.7070707070707071
product,ariceleo_led_fairy_lights_batter,13,86,1,0.8686868686868687
product,bose_soundlink_flex_bluetooth_sp,36,61,3,0.6288659793814433
product,wedding_planner_book_and_organiz,58,42,0,0.42
product,olive_oil_sprayer_for_cooking_20,7,92,1,0.9292929292929293
product,ki_puzzle_1000_piece_puzzle_for_,16,82,2,0.8367346938775511
product,logitech_trackman_marble_2017_tr,7,91,2,0.9285714285714286
product,12_pack_cheesecloth_table_runner,9,90,1,0.9090909090909091
product,2_set_157_gold_circle_mirrors_wa,17,80,3,0.8247422680412371
product,sitmod_gaming_chairs_for_adults_,28,72,0,0.72
product,barbie_bluray__digital,2,96,2,0.9795918367346939
product,board_game_azul,29,69,2,0.7040816326530612
product,yes4all_premium_surf_balance_boa,24,75,1,0.7575757575757576
product,just_my_size_wireless_bra_pack_f,25,73,2,0.7448979591836735
product,oannao_silicone_cooking_utensils,32,66,2,0.673469387755102
paper,ccgbank_a_corpus_of_ccg_derivati,27,15,6,0.35714285714285715
paper,forest_rescoring_faster_decoding,26,36,4,0.5806451612903226
paper,fully_unsupervised_discovery_of_,23,38,5,0.6229508196721312
paper,a_comparison_of_vectorbased_repr,10,52,4,0.8387096774193549
paper,better_hypothesis_testing_for_st,25,39,2,0.609375
paper,information_fusion_in_the_contex,26,34,6,0.5666666666666667
paper,efficient_thirdorder_dependency_,26,36,4,0.5806451612903226
paper,pronunciation_modeling_for_impro,34,27,5,0.4426229508196721
paper,multitext_grammars_and_synchrono,12,51,3,0.8095238095238095
paper,knowledgefree_induction_of_morph,25,38,3,0.6031746031746031
paper,finitestate_transducers_in_langu,6,38,4,0.8636363636363636
paper,a_monolingual_treebased_translat,25,40,1,0.6153846153846154
paper,joint_unsupervised_coreference_r,29,34,3,0.5396825396825397
paper,bayesian_word_sense_induction,22,38,6,0.6333333333333333
paper,a_classifierbased_parser_with_li,25,36,5,0.5901639344262295
paper,semeval2010_task_13_tempeval2,13,48,5,0.7868852459016393
paper,randomised_language_modelling_fo,2,62,2,0.96875
paper,statistical_decisiontree_models_,42,19,5,0.3114754098360656
paper,nltk_the_natural_language_toolki,29,31,6,0.5166666666666667
paper,widecoverage_efficient_statistic,30,10,8,0.25
paper,better_kbest_parsing,15,45,6,0.75
paper,deterministic_dependency_parsing,50,11,5,0.18032786885245902
paper,named_entity_recognition_using_a,30,35,1,0.5384615384615384
paper,transductive_learning_for_statis,26,33,7,0.559322033898305
paper,improved_automatic_keyword_extra,27,38,1,0.5846153846153846
paper,soft_syntactic_constraints_for_w,9,55,2,0.859375
paper,a_composite_kernel_to_extract_re,27,35,4,0.5645161290322581
paper,a_maximum_entropy_model_for_part,51,11,4,0.1774193548387097
paper,a_sentimental_education_sentimen,1,61,4,0.9838709677419355
paper,meaningful_clustering_of_senses_,16,47,3,0.746031746031746
paper,minimum_error_rate_training_in_s,27,38,1,0.5846153846153846
paper,text_chunking_using_transformati,21,41,4,0.6612903225806451
paper,generating_natural_language_summ,13,33,2,0.717391304347826
paper,chunking_with_support_vector_mac,7,51,8,0.8793103448275862
paper,the_second_release_of_the_rasp_s,31,26,9,0.45614035087719296
paper,bayesian_learning_of_a_tree_subs,23,42,1,0.6461538461538462
paper,local_phrase_reordering_models_f,18,46,2,0.71875
paper,stochastic_lexicalized_treeadjoi,48,11,7,0.1864406779661017
paper,the_icsi_meeting_recorder_dialog,20,44,2,0.6875
paper,extracting_parallel_subsententia,35,29,2,0.453125
paper,unsupervised_multilingual_learni,23,42,1,0.6461538461538462
paper,learning_subjective_nouns_using_,14,44,8,0.7586206896551724
paper,a_study_on_similarity_and_relate,45,19,2,0.296875
paper,parsing_the_wall_street_journal_,14,49,3,0.7777777777777778
paper,evaluating_the_accuracy_of_an_un,33,31,2,0.484375
paper,machine_translation_by_triangula,13,49,4,0.7903225806451613
paper,extraposition_grammars,17,47,2,0.734375
paper,joshua_an_open_source_toolkit_fo,58,4,4,0.06451612903225806
paper,semiring_parsing,19,27,2,0.5869565217391305
paper,statistical_machine_translation_,13,48,5,0.7868852459016393
paper,the_alignment_template_approach_,12,35,1,0.7446808510638298
paper,cut_and_paste_based_text_summari,18,44,4,0.7096774193548387
paper,prototypedriven_learning_for_seq,41,20,5,0.32786885245901637
paper,whats_in_a_translation_rule,23,35,8,0.603448275862069
paper,improving_machine_translation_pe,39,21,6,0.35
paper,the_grammar_matrix_an_opensource,43,20,3,0.31746031746031744
paper,guided_learning_for_bidirectiona,24,37,5,0.6065573770491803
paper,incorporating_nonlocal_informati,35,29,2,0.453125
paper,integrating_graphbased_and_trans,27,38,1,0.5846153846153846
paper,representing_text_chunks,15,49,2,0.765625
paper,phrasal_cohesion_and_statistical,8,54,4,0.8709677419354839
paper,machine_learning_for_coreference,23,36,7,0.6101694915254238
paper,a_regression_model_of_adjectiven,25,41,0,0.6212121212121212
paper,learning_subjective_language,18,27,3,0.6
paper,a_new_dataset_and_method_for_aut,13,48,5,0.7868852459016393
paper,the_reliability_of_a_dialogue_st,34,30,2,0.46875
paper,finding_parts_in_very_large_corp,4,59,3,0.9365079365079365
paper,a_uniform_approach_to_analogies_,5,55,6,0.9166666666666666
paper,cogniac_high_precision_coreferen,28,31,7,0.5254237288135594
paper,linguistic_regularities_in_conti,29,31,6,0.5166666666666667
paper,guiding_semisupervision_with_con,1,63,2,0.984375
paper,improved_partofspeech_tagging_fo,20,42,4,0.6774193548387096
paper,personalizing_pagerank_for_word_,5,59,2,0.921875
paper,edgebased_bestfirst_chart_parsin,38,24,4,0.3870967741935484
paper,modeling_local_coherence_an_enti,17,28,3,0.6222222222222222
paper,integrating_multiple_knowledge_s,48,14,4,0.22580645161290322
paper,a_corpusbased_approach_for_build,30,31,5,0.5081967213114754
paper,chinese_syntactic_reordering_for,45,17,4,0.27419354838709675
paper,unsupervised_learning_of_disambi,31,30,5,0.4918032786885246
paper,corpus_variation_and_parser_perf,10,52,4,0.8387096774193549
paper,vectorbased_models_of_semantic_c,24,40,2,0.625
paper,categorial_unification_grammars,11,49,6,0.8166666666666667
paper,two_languages_are_better_than_on,36,24,6,0.4
paper,sentence_level_discourse_parsing,50,13,3,0.20634920634920634
paper,named_entity_recognition_with_ch,24,40,2,0.625
paper,regular_models_of_phonological_r,17,27,4,0.6136363636363636
paper,unsupervised_discovery_of_morphe,13,49,4,0.7903225806451613
paper,indirecthmmbased_hypothesis_alig,17,43,6,0.7166666666666667
paper,chart_generation,18,47,1,0.7230769230769231
paper,tailoring_word_alignments_to_syn,23,41,2,0.640625
paper,an_improved_error_model_for_nois,14,49,3,0.7777777777777778
paper,reranking_and_selftraining_for_p,7,52,7,0.8813559322033898
paper,an_algorithm_for_generating_quan,6,39,3,0.8666666666666667
movie,toh_baat_pakki,24,25,1,0.5102040816326531
movie,the_bone_snatcher,17,32,1,0.6530612244897959
movie,on_the_edge_of_innocence,18,29,3,0.6170212765957447
movie,tangled,20,29,1,0.5918367346938775
movie,streets_of_fire,21,25,4,0.5434782608695652
movie,children_of_the_corn_iii_urban_h,25,25,0,0.5
movie,winchester_73,22,24,4,0.5217391304347826
movie,flashbacks_of_a_fool,23,22,5,0.4888888888888889
movie,pepi_luci_bom_and_other_girls_on,11,35,4,0.7608695652173914
movie,cursed,16,32,2,0.6666666666666666
movie,seven_men_from_now,20,23,7,0.5348837209302325
movie,daivanamathil,14,35,1,0.7142857142857143
movie,aayirathil_oruvan,20,28,2,0.5833333333333334
movie,devils_diary,20,26,4,0.5652173913043478
movie,goofs_and_saddles,25,22,3,0.46808510638297873
movie,the_damned_thing,19,30,1,0.6122448979591837
movie,totally_spies_the_movie,17,27,6,0.6136363636363636
movie,arthur_christmas,17,27,6,0.6136363636363636
movie,see_no_evil,10,36,4,0.782608695652174
movie,eves_bayou,13,28,9,0.6829268292682927
movie,the_fairhaired_hare,24,25,1,0.5102040816326531
movie,deadgirl,9,37,4,0.8043478260869565
movie,the_trap,20,25,5,0.5555555555555556
movie,the_lincoln_lawyer,20,27,3,0.574468085106383
movie,tolable_david,23,23,4,0.5
movie,samson,17,26,7,0.6046511627906976
movie,ticket_to_heaven,19,25,6,0.5681818181818182
movie,king,13,28,9,0.6829268292682927
movie,the_hill,11,34,5,0.7555555555555555
movie,til_there_was_you,22,26,2,0.5416666666666666
movie,doomsday,19,30,1,0.6122448979591837
movie,operation_rabbit,28,16,6,0.36363636363636365
movie,gattaca,21,23,6,0.5227272727272727
movie,stardust,16,26,8,0.6190476190476191
movie,satan_in_high_heels,30,17,3,0.3617021276595745
movie,small_town_story,22,24,4,0.5217391304347826
movie,the_magic_riddle,15,30,5,0.6666666666666666
movie,a_matter_of_time,24,22,4,0.4782608695652174
movie,knights_of_the_city,18,28,4,0.6086956521739131
movie,the_hasty_hare,16,27,7,0.627906976744186
movie,rokkk,8,38,4,0.8260869565217391
movie,billy_two_hats,17,31,2,0.6458333333333334
movie,the_detonator,15,33,2,0.6875
movie,the_miracle_man,15,33,2,0.6875
movie,white_wedding,0,47,3,1.0
movie,high_on_crack_street_lost_lives_,19,25,6,0.5681818181818182
movie,rudraveena,25,23,2,0.4791666666666667
movie,no_sos_vos_soy_yo,13,34,3,0.723404255319149
movie,mogambo,14,33,3,0.7021276595744681
movie,eating_out_5_the_open_weekend,16,30,4,0.6521739130434783
movie,the_thrill_killers,20,28,2,0.5833333333333334
movie,black_belt_jones,22,28,0,0.56
movie,night_of_the_demons_2,27,21,2,0.4375
movie,breezy,8,39,3,0.8297872340425532
movie,satans_little_helper,15,32,3,0.6808510638297872
movie,november,14,32,4,0.6956521739130435
movie,kingdom_of_the_spiders,18,31,1,0.6326530612244898
movie,love_exposure,10,37,3,0.7872340425531915
movie,the_journey_of_jared_price,8,37,5,0.8222222222222222
movie,spanish_masala,13,35,2,0.7291666666666666
movie,george_of_the_jungle,15,31,4,0.6739130434782609
movie,funny_about_love,25,24,1,0.4897959183673469
movie,moneyball,17,31,2,0.6458333333333334
movie,going_under,12,32,6,0.7272727272727273
movie,the_super_dimension_fortress_mac,22,26,2,0.5416666666666666
movie,the_chaser,19,25,6,0.5681818181818182
movie,hot_blood,16,30,4,0.6521739130434783
movie,critters_2_the_main_course,31,17,2,0.3541666666666667
movie,the_trial,24,22,4,0.4782608695652174
movie,tower_of_london,12,34,4,0.7391304347826086
movie,traffic,20,27,3,0.574468085106383
movie,dead_ringer,10,39,1,0.7959183673469388
movie,wheres_firuze,20,26,4,0.5652173913043478
movie,chandamama,18,30,2,0.625
movie,rescue_dawn,13,33,4,0.717391304347826
movie,lawless,16,29,5,0.6444444444444445
movie,catwoman,12,37,1,0.7551020408163265
movie,maduve_mane,19,25,6,0.5681818181818182
movie,stolen_holiday,17,27,6,0.6136363636363636
movie,the_merry_old_soul,18,29,3,0.6170212765957447
movie,naseeb_apna_apna,6,43,1,0.8775510204081632
movie,julai,13,34,3,0.723404255319149
movie,less_than_zero,11,38,1,0.7755102040816326
movie,gratefulness,22,23,5,0.5111111111111111
movie,leatherheads,26,22,2,0.4583333333333333
movie,hollow_triumph,18,25,7,0.5813953488372093
movie,bad_blood,3,43,4,0.9347826086956522
movie,a_better_tomorrow_2,26,21,3,0.44680851063829785
movie,brassed_off,24,23,3,0.48936170212765956
movie,halloweentown_high,29,18,3,0.3829787234042553
movie,the_hit,3,45,2,0.9375
movie,mimic_2,21,28,1,0.5714285714285714
movie,gigi,13,34,3,0.723404255319149
movie,christmas_story,31,13,6,0.29545454545454547
movie,there_they_gogogo,24,20,6,0.45454545454545453
movie,isi_life_mein,28,20,2,0.4166666666666667
movie,the_vulture,21,29,0,0.58
movie,the_belles_of_st_trinians,20,28,2,0.5833333333333334
movie,mera_naam_joker,18,30,2,0.625
movie,the_arrogant,18,30,2,0.625
movie,dantes_peak,18,30,2,0.625
movie,the_addams_family,20,27,3,0.574468085106383
movie,ask_a_policeman,19,29,2,0.6041666666666666
movie,homam,16,31,3,0.6595744680851063
movie,madadayo,13,34,3,0.723404255319149
movie,the_infidel,24,23,3,0.48936170212765956
movie,helen_of_four_gates,12,35,3,0.7446808510638298
movie,two_for_the_road,13,32,5,0.7111111111111111
movie,wing_and_a_prayer,20,28,2,0.5833333333333334
movie,attack_of_the_killer_tomatoes,16,32,2,0.6666666666666666
movie,teen_thay_bhai,14,33,3,0.7021276595744681
movie,mysteries_of_a_barbershop,19,31,0,0.62
movie,the_mad_magician,12,33,5,0.7333333333333333
movie,duet,17,32,1,0.6530612244897959
movie,up_in_the_air,21,24,5,0.5333333333333333
movie,shakalaka_boom_boom,4,44,2,0.9166666666666666
movie,street_fighter_alpha,23,26,1,0.5306122448979592
movie,fear_in_the_night,28,20,2,0.4166666666666667
movie,the_joneses,17,28,5,0.6222222222222222
movie,anantana_avantara,26,21,3,0.44680851063829785
movie,transit,17,26,7,0.6046511627906976
movie,camerons_closet,23,23,4,0.5
movie,corporate,11,36,3,0.7659574468085106
movie,sebastian_star_bear_first_missio,9,37,4,0.8043478260869565
movie,multiple_maniacs,17,33,0,0.66
movie,summer_heat,7,40,3,0.851063829787234
movie,our_gang_follies_of_1938,29,18,3,0.3829787234042553
movie,lucky_no_time_for_love,24,20,6,0.45454545454545453
movie,the_gendarme_in_new_york,19,29,2,0.6041666666666666
movie,bartok_the_magnificent,23,25,2,0.5208333333333334
movie,salt_water_tabby,24,23,3,0.48936170212765956
movie,bitter_moon,16,28,6,0.6363636363636364
movie,my_girl_and_i,21,24,5,0.5333333333333333
movie,inspector_gadget,14,35,1,0.7142857142857143
movie,andaru_dongale_dorikithe,13,34,3,0.723404255319149
movie,trapped_in_the_closet_chapters_1,12,30,8,0.7142857142857143
movie,yellow_sky,13,34,3,0.723404255319149
movie,dust_be_my_destiny,19,29,2,0.6041666666666666
movie,blood_reign_curse_of_the_yoma,23,22,5,0.4888888888888889
movie,humanit,8,40,2,0.8333333333333334
movie,a_case_of_rape,11,38,1,0.7755102040816326
movie,mereka_bilang_saya_monyet,9,34,7,0.7906976744186046
movie,road_to_singapore,17,31,2,0.6458333333333334
movie,aage_se_right,22,27,1,0.5510204081632653
movie,lawman,3,47,0,0.94
movie,polladhavan,17,30,3,0.6382978723404256
movie,tango,15,32,3,0.6808510638297872
movie,trial_by_jury,13,35,2,0.7291666666666666
movie,six_degrees_of_separation,10,38,2,0.7916666666666666
movie,amistad,24,24,2,0.5
movie,once_upon_a_time_in_china_ii,26,21,3,0.44680851063829785
movie,run_fat_boy_run,23,21,6,0.4772727272727273
movie,khumba,18,26,6,0.5909090909090909
movie,more_than_a_secretary,8,39,3,0.8297872340425532
movie,la_religieuse,8,39,3,0.8297872340425532
movie,house_of_the_dead,16,32,2,0.6666666666666666
movie,final_storm,11,35,4,0.7608695652173914
movie,arena,27,21,2,0.4375
movie,the_hot_chick,17,31,2,0.6458333333333334
movie,by_dawns_early_light,17,29,4,0.6304347826086957
movie,pyaar_ke_side_effects,13,34,3,0.723404255319149
movie,table_for_five,25,24,1,0.4897959183673469
movie,kung_pow_enter_the_fist,13,30,7,0.6976744186046512
movie,intent_to_kill,14,32,4,0.6956521739130435
movie,severance,12,32,6,0.7272727272727273
movie,gamera_vs_viras,20,27,3,0.574468085106383
movie,luna_de_miel,27,18,5,0.4
movie,interview_with_the_assassin,16,30,4,0.6521739130434783
movie,the_whistle_blower,18,30,2,0.625
movie,die_stadt_ohne_juden,15,31,4,0.6739130434782609
movie,dead_alive,21,28,1,0.5714285714285714
movie,redemption_kickboxer_5,24,25,1,0.5102040816326531
movie,the_damned,23,24,3,0.5106382978723404
movie,daffy_duck_slept_here,28,22,0,0.44
movie,poochakkoru_mookkuthi,20,26,4,0.5652173913043478
movie,rabbit_fire,13,33,4,0.717391304347826
movie,sakigake_otokojuku,16,33,1,0.673469387755102
movie,the_perfect_circle,28,20,2,0.4166666666666667
movie,colors,16,27,7,0.627906976744186
movie,peewees_big_adventure,27,17,6,0.38636363636363635
movie,beneath_hill_60,12,32,6,0.7272727272727273
movie,shaolin_chamber_of_death,26,22,2,0.4583333333333333
movie,roots_the_gift,27,20,3,0.425531914893617
movie,the_goofy_gophers,19,30,1,0.6122448979591837
movie,gifted_hands_the_ben_carson_stor,18,29,3,0.6170212765957447
movie,baran,20,26,4,0.5652173913043478
movie,pierrot_le_fou,15,34,1,0.6938775510204082
movie,five_and_dime,14,34,2,0.7083333333333334
movie,hitman,14,34,2,0.7083333333333334
movie,mice_follies,21,25,4,0.5434782608695652
movie,the_killing_jar,23,23,4,0.5
movie,igby_goes_down,20,25,5,0.5555555555555556
movie,chakkikotha_chankaran,6,41,3,0.8723404255319149
movie,girl_interrupted,15,27,8,0.6428571428571429
movie,barefoot_in_the_park,18,23,9,0.5609756097560976
movie,snow_falling_on_cedars,11,35,4,0.7608695652173914
movie,azhagi,15,31,4,0.6739130434782609
movie,me_and_orson_welles,10,36,4,0.782608695652174
movie,love_with_the_proper_stranger,15,28,7,0.6511627906976745
movie,majunu,21,28,1,0.5714285714285714
movie,saravana,13,34,3,0.723404255319149
movie,back_to_the_woods,26,18,6,0.4090909090909091
movie,angaaray,12,36,2,0.75
movie,cats__dogs,9,36,5,0.8
movie,snoopy_the_musical,16,29,5,0.6444444444444445
movie,dont_look_now,14,32,4,0.6956521739130435
movie,daddy_cool,8,39,3,0.8297872340425532
movie,murder_he_says,23,22,5,0.4888888888888889
movie,papillon,18,29,3,0.6170212765957447
movie,meet_joe_black,15,31,4,0.6739130434782609
movie,akira,13,35,2,0.7291666666666666
movie,das_experiment,21,26,3,0.5531914893617021
movie,charas,15,30,5,0.6666666666666666
movie,nimas_trujano,14,34,2,0.7083333333333334
movie,expresso,24,22,4,0.4782608695652174
movie,jewel,31,13,6,0.29545454545454547
movie,kadhalukku_mariyadhai,18,30,2,0.625
movie,the_smashing_bird_i_used_to_know,26,22,2,0.4583333333333333
movie,quality_street,10,36,4,0.782608695652174
movie,conrack,9,33,8,0.7857142857142857
movie,condorman,18,28,4,0.6086956521739131
movie,spacecamp,23,23,4,0.5
movie,cleopatra,12,35,3,0.7446808510638298
movie,naalu_pennungal,15,29,6,0.6590909090909091
movie,viva_max,25,21,4,0.45652173913043476
movie,tamil_padam,16,32,2,0.6666666666666666
movie,law_of_desire,16,32,2,0.6666666666666666
movie,the_curse_of_frankenstein,12,36,2,0.75
movie,the_blot,14,33,3,0.7021276595744681
movie,click,24,24,2,0.5
movie,i_was_a_teenage_frankenstein,9,40,1,0.8163265306122449
movie,captivity,9,37,4,0.8043478260869565
movie,up_up_and_away,10,33,7,0.7674418604651163
movie,super_troopers,19,30,1,0.6122448979591837
movie,my_neighbor_totoro,18,25,7,0.5813953488372093
movie,tirangaa,15,34,1,0.6938775510204082
movie,lost_in_america,9,33,8,0.7857142857142857
movie,when_were_you_born,15,31,4,0.6739130434782609
movie,don_the_chase_begins_again,4,44,2,0.9166666666666666
movie,little_quacker,25,22,3,0.46808510638297873
movie,spun,9,39,2,0.8125
movie,spider_forest,19,27,4,0.5869565217391305
movie,the_elementary_school,20,23,7,0.5348837209302325
movie,ee_parakkum_thalika,15,30,5,0.6666666666666666
movie,padagotti,22,23,5,0.5111111111111111
movie,200_cigarettes,18,28,4,0.6086956521739131
movie,mad_hot_ballroom,18,24,8,0.5714285714285714
movie,your_mother_wears_combat_boots,28,19,3,0.40425531914893614
movie,marked_woman,14,33,3,0.7021276595744681
movie,jungle_jingles,8,37,5,0.8222222222222222
